Name	Start	Duration	Time Format	Type	Description
start_34670718	0:00.000	0:02.391	decimal	Cue	
start_c56e0ca8	0:02.558	0:02.441	decimal	Cue	
start_442ac078	0:05.284	0:03.144	decimal	Cue	
start_89c0ce86	0:08.629	0:04.064	decimal	Cue	
start_774899ae	0:12.879	0:04.482	decimal	Cue	
start_371bb2ba	0:17.661	0:01.338	decimal	Cue	
start_6fe78425	0:19.233	0:02.526	decimal	Cue	
start_6fe91a49	0:21.813	0:01.686	decimal	Cue	
start_7eb18872	0:23.857	0:02.916	decimal	Cue	
start_f15c99e4	0:27.232	0:03.656	decimal	Cue	
start_f15c99e4_1	0:31.000	0:03.656	decimal	Cue	
start_f15c99e4_2	0:34.733	0:03.656	decimal	Cue	
bedroom_label_60bfe19f	0:38.470	0:06.042	decimal	Cue	
bedroom_label_76854aac	0:44.746	0:01.619	decimal	Cue	
bedroom_label_eab99a2c	0:46.716	0:02.186	decimal	Cue	
bedroom_label_6aeadb10	0:49.313	0:19.376	decimal	Cue	
bedroom_label_08705fcc	0:50.313	0:03.363	decimal	Cue	
bedroom_label_b38f8e3f	0:54.124	0:03.377	decimal	Cue	
bedroom_label_8efad6ca	0:57.921	0:03.837	decimal	Cue	
bedroom_label_2145cf0f	1:02.136	0:04.416	decimal	Cue	
bedroom_label_94706bf8	1:06.825	0:01.852	decimal	Cue	
bedroom_label_7168e42a	1:08.713	0:02.964	decimal	Cue	
bedroom_label_10d54685	1:12.127	0:03.050	decimal	Cue	
coridor_label_a230b0ed	1:15.678	0:03.875	decimal	Cue	
kitchen_label_1c27c627	1:19.933	0:01.245	decimal	Cue	
kitchen_label_61b01dfb	1:21.580	0:02.597	decimal	Cue	
kitchen_label_e070f0a8	1:24.178	0:06.574	decimal	Cue	
kitchen_label_c959bef3	1:31.060	0:03.320	decimal	Cue	
kitchen_label_f6216035	1:34.632	0:02.861	decimal	Cue	
kitchen_label_1b285b2e	1:37.678	0:02.905	decimal	Cue	
kitchen_label_53eda26f	1:40.942	0:03.536	decimal	Cue	
kitchen_label_461102a0	1:44.478	0:02.889	decimal	Cue	
kitchen_label_9ed50998	1:47.678	0:05.843	decimal	Cue	
guest_label_ce0b414a	1:53.802	0:04.132	decimal	Cue	
guest_label_a88c9614	1:58.147	0:03.557	decimal	Cue	
guest_label_8952d3ec	2:02.163	0:02.349	decimal	Cue	
guest_label_42bc7f46	2:04.867	0:00.932	decimal	Cue	
guest_label_5d0d2d35	2:06.165	0:01.214	decimal	Cue	
guest_label_08d302ea	2:07.502	0:04.523	decimal	Cue	
guest_label_d958822f	2:12.401	0:02.912	decimal	Cue	
guest_label_fd140c79	2:15.669	0:02.248	decimal	Cue	
guest_label_3fb9db6b	2:18.313	0:03.352	decimal	Cue	
guest_label_05571d5b	2:22.113	0:01.473	decimal	Cue	
